"category";"indicator";"sub_indicator";"locality";"gender";"council_district";"fiscal_year";"fy_qtr";"calendar_year";"cy_qtr";"quarter_start";"as_of_date";"unit_of_measure";"unit_text";"value";"source";"CD #";"Proportions"
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2004";"2004-03";"2004";"2004-01";"01/01/2004";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"1311096.5";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2004";"2004-04";"2004";"2004-02";"04/01/2004";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"3081184.9";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2004";"2005-01";"2005";"2004-03";"07/01/2004";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"4150152.8";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2004";"2005-02";"2005";"2004-04";"10/01/2004";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"1288147.1";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2005";"2005-03";"2005";"2005-01";"01/01/2005";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"1971990.6";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2005";"2005-04";"2005";"2005-02";"04/01/2005";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"2774028.9";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2005";"2006-01";"2006";"2005-03";"07/01/2005";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"10096320.5";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2005";"2006-02";"2006";"2005-04";"10/01/2005";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"13105288.9";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2006";"2006-03";"2006";"2006-01";"01/01/2006";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"23807185.2";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2006";"2006-04";"2006";"2006-02";"04/01/2006";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"31772958.9";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2006";"2007-01";"2007";"2006-03";"07/01/2006";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"13726486.5";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2006";"2007-02";"2007";"2006-04";"10/01/2006";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"29153357.1";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2007";"2007-03";"2007";"2007-01";"01/01/2007";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"7882610.9";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2007";"2007-04";"2007";"2007-02";"04/01/2007";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"4126200.5";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2007";"2008-01";"2008";"2007-03";"07/01/2007";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"29172335.4";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2007";"2008-02";"2008";"2007-04";"10/01/2007";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"13542206.8";"City Of Los Angeles Department Of Building And Safety";"1";""
"Building Permits";"Multi-family Permit Values";"";"Los Angeles City";"All";"1";"2008";"2008-03";"2008";"2008-01";"01/01/2008";"05/08/2015";"$";"Seasonally Adjusted And Smoothed";"127038.3";"City Of Los Angeles Department Of Building And Safety";"1";""
